name,series,variant,sku,rarity,images,description,msrp,retailUrl,lastSalePrice,floorPrice,priceSources,affiliateLinks,stockStatus,attributes,estimatedValue,priceRange,confidenceScore,priceChange24h,recentSales,priceHistory
Soy Milk,Exciting Macaron (V1),Soy Milk,LBB-EXM-SM,common,[],Soy Milk from Labubu V1 Exciting Macaron blind box.,27.99,https://www.popmart.com/us/products/labubu-soy-milk,,,[],[],out_of_stock,{},,{},75,,[],[]
Green Grape,Exciting Macaron (V1),Green Grape,LBB-EXM-GG,common,[],Green Grape from Labubu V1 Exciting Macaron blind box.,27.99,https://www.popmart.com/us/products/labubu-green-grape,,,[],[],out_of_stock,{},,{},75,,[],[]
Lychee Berry,Exciting Macaron (V1),Lychee Berry,LBB-EXM-LB,common,[],Lychee Berry from Labubu V1 Exciting Macaron blind box.,27.99,https://www.popmart.com/us/products/labubu-lychee-berry,,,[],[],out_of_stock,{},,{},75,,[],[]
Sea Salt Coconut,Exciting Macaron (V1),Sea Salt Coconut,LBB-EXM-SSC,common,[],Sea Salt Coconut from Labubu V1 Exciting Macaron blind box.,27.99,https://www.popmart.com/us/products/labubu-sea-salt-coconut,,,[],[],out_of_stock,{},,{},75,,[],[]
Sesame Bean,Exciting Macaron (V1),Sesame Bean,LBB-EXM-SB,common,[],Sesame Bean from Labubu V1 Exciting Macaron blind box.,27.99,https://www.popmart.com/us/products/labubu-sesame-bean,,,[],[],out_of_stock,{},,{},75,,[],[]
Toffee,Exciting Macaron (V1),Toffee,LBB-EXM-TO,common,[],Toffee from Labubu V1 Exciting Macaron blind box.,27.99,https://www.popmart.com/us/products/labubu-toffee,,,[],[],out_of_stock,{},,{},75,,[],[]
Chestnut Cocoa,Exciting Macaron (V1),Secret: Chestnut Cocoa,LBB-EXM-SCC,secret,[],Secret character from V1 (Chestnut Cocoa).,27.99,https://www.popmart.com/us/products/labubu-chestnut-cocoa,,,[],[],out_of_stock,{},,{},75,,[],[]
Sisi,Have a Seat (V2),Sisi,LBB-HAS-SI,common,[],Sisi from Labubu V2 Have a Seat blind box.,27.99,https://www.popmart.com/us/products/labubu-sisi,,,[],[],out_of_stock,{},,{},75,,[],[]
Hehe,Have a Seat (V2),Hehe,LBB-HAS-HE,common,[],Hehe from Labubu V2 Have a Seat blind box.,27.99,https://www.popmart.com/us/products/labubu-hehe,,,[],[],out_of_stock,{},,{},75,,[],[]
Baba,Have a Seat (V2),Baba,LBB-HAS-BA,common,[],Baba from Labubu V2 Have a Seat blind box.,27.99,https://www.popmart.com/us/products/labubu-baba,,,[],[],out_of_stock,{},,{},75,,[],[]
